TramJourneyID,TravelTimeMinutes,Line,Direction,hour_of_day,ServiceDay,Period
BRI_BRO03_2020_03_14,57.983333333333334,Green,Inbound to,7,2020-03-14,Morning
BRI_BRO03_2020_03_15,58.93333333333333,Green,Inbound to,7,2020-03-15,Morning
BRI_BRO03_2020_03_16,53.96666666666667,Green,Inbound to,11,2020-03-16,Midday
BRI_BRO03_2020_03_17,59.983333333333334,Green,Inbound to,8,2020-03-17,Morning
BRI_BRO03_2020_03_18,56.983333333333334,Green,Inbound to,18,2020-03-18,Evening
BRI_BRO04_2020_01_20,57.95,Green,Inbound to,10,2020-01-20,Morning
BRI_BRO04_2020_01_21,61.916666666666664,Green,Inbound to,9,2020-01-21,Morning
BRI_BRO04_2020_01_22,57.95,Green,Inbound to,10,2020-01-22,Morning
BRI_BRO04_2020_01_23,57.96666666666667,Green,Inbound to,11,2020-01-23,Midday
BRI_BRO04_2020_01_25,60.016666666666666,Green,Inbound to,7,2020-01-25,Morning
BRI_BRO04_2020_01_26,59.96666666666667,Green,Inbound to,8,2020-01-26,Morning
BRI_BRO04_2020_01_27,61.93333333333333,Green,Inbound to,17,2020-01-27,Evening
BRI_BRO04_2020_01_28,61.96666666666667,Green,Inbound to,10,2020-01-28,Morning
BRI_BRO04_2020_01_29,57.93333333333334,Green,Inbound to,10,2020-01-29,Morning
BRI_BRO04_2020_01_30,61.916666666666664,Green,Inbound to,8,2020-01-30,Morning
BRI_BRO04_2020_02_01,61.95,Green,Inbound to,7,2020-02-01,Morning
BRI_BRO04_2020_02_02,59.983333333333334,Green,Inbound to,8,2020-02-02,Morning
BRI_BRO04_2020_02_03,56.95,Green,Inbound to,8,2020-02-03,Morning
BRI_BRO04_2020_02_04,57.96666666666667,Green,Inbound to,9,2020-02-04,Morning
BRI_BRO04_2020_02_07,58.983333333333334,Green,Inbound to,8,2020-02-07,Morning
BRI_BRO04_2020_02_08,59.96666666666667,Green,Inbound to,7,2020-02-08,Morning
BRI_BRO04_2020_02_09,57.95,Green,Inbound to,8,2020-02-09,Morning
BRI_BRO04_2020_02_13,60.0,Green,Inbound to,9,2020-02-13,Morning
