Stop,NextStop,Direction,Line,Period,AvgVolatilityMinutes
GAL,CPK,Inbound to,Green,Evening,0.2509973336411387
CHA,RAN,Inbound to,Green,Morning,0.2443874409491572
CVN,CIT,Inbound to,Red,Midday,0.24434515865112977
FOU,MUS,Inbound to,Red,Morning,0.23570226039551587
FOU,MUS,Inbound to,Red,Midday,0.2349813908844218
BLU,KYL,Inbound to,Red,Night,0.23172773511181835
GDK,SDK,Inbound to,Red,Night,0.23151483247130544
FOU,SMI,Inbound to,Red,Night,0.22977636426223813
GOL,DRI,Inbound to,Red,Evening,0.22717593906613773
COW,BEE,Outbound to,Green,Evening,0.226302031189862
SDK,TPT,Outbound to,Red,Night,0.22530039573566898
BEE,COW,Inbound to,Green,Morning,0.2247325158380429
DRI,GOL,Outbound to,Red,Evening,0.22370540742055545
RAN,BEE,Inbound to,Green,Morning,0.22057566273873416
SUI,RIA,Outbound to,Red,Morning,0.21807942715741999
SUI,RIA,Outbound to,Red,Midday,0.21775296546211975
KIL,BAL,Outbound to,Green,Evening,0.2172438049677561
FOR,CIT,Outbound to,Red,Midday,0.21653822024026007
RAN,COW,Outbound to,Green,Midday,0.21652798033268536
STI,SAN,Inbound to,Green,Night,0.21622936611524723
RIA,SUI,Inbound to,Red,Night,0.2157366404542569
COW,RAN,Inbound to,Green,Evening,0.21474272744786269
KIL,STI,Inbound to,Green,Midday,0.21187407063569783
CPK,GLE,Inbound to,Green,Morning,0.2103417513831211
COW,WIN,Outbound to,Green,Night,0.20914232846341205
FAT,RIA,Inbound to,Red,Night,0.20815417446221599
HEU,MUS,Outbound to,Red,Midday,0.20781066652996275
PHI,DOM,Inbound to,Green,Midday,0.2059918333905706
CHE,CCK,Inbound to,Green,Evening,0.20587900386130406
GOL,SUI,Outbound to,Red,Midday,0.20511456168057415
BEE,RAN,Outbound to,Green,Night,0.20374324319548018
CVN,FET,Outbound to,Red,Morning,0.20338447521737085
RIA,DRI,Outbound to,Red,Evening,0.19986182142987466
TAL,COO,Inbound to,Red,Morning,0.19727199558433414
COW,RAN,Inbound to,Green,Midday,0.19721219668568077
BUS,CON,Outbound to,Red,Morning,0.1964185189521076
OUP,PHI,Inbound to,Green,Midday,0.19391371269298005
CAB,BRD,Outbound to,Green,Midday,0.1921350078808406
DRI,GOL,Outbound to,Red,Midday,0.19192917610846294
HOS,COO,Outbound to,Red,Night,0.18986988593154344
MIL,COW,Outbound to,Green,Evening,0.18958681790949655
DAW,HAR,Outbound to,Green,Night,0.18856180831641278
DUN,WIN,Outbound to,Green,Midday,0.18856180831641267
BAL,KIL,Inbound to,Green,Morning,0.1876286114808026
DRI,KYL,Outbound to,Red,Night,0.18255459776897998
JAM,FAT,Inbound to,Red,Night,0.18124512197210474
FET,CVN,Inbound to,Red,Morning,0.17978459134571612
CIT,CVN,Outbound to,Red,Midday,0.17919074466396134
DRI,BLA,Inbound to,Red,Night,0.1781504406854454
BAL,KIL,Inbound to,Green,Midday,0.1775859402895584
HOS,TAL,Inbound to,Red,Morning,0.17143409960730216
BAL,WIN,Inbound to,Green,Night,0.16835696535055986
GOL,SUI,Outbound to,Red,Morning,0.16455075809480157
MIL,WIN,Inbound to,Green,Midday,0.16379943756800183
CIT,CVN,Outbound to,Red,Morning,0.16286056072770488
MUS,JAM,Inbound to,Red,Morning,0.15740453183331932
BEE,COW,Inbound to,Green,Night,0.15645861282262838
PHI,CAB,Outbound to,Green,Morning,0.15642776671899275
SUI,GOL,Inbound to,Red,Evening,0.15581530003380525
CHE,BRI,Inbound to,Green,Morning,0.15553730026010962
SMI,FOU,Outbound to,Red,Night,0.15269316845768557
BRD,GRA,Outbound to,Green,Morning,0.1516826746766366
BUS,CON,Outbound to,Red,Evening,0.15166784936630356
RAN,COW,Outbound to,Green,Night,0.14986539800122883
BEE,MIL,Outbound to,Green,Evening,0.14836109371318074
PHI,CAB,Outbound to,Green,Midday,0.14562400465232397
DRI,GOL,Outbound to,Red,Morning,0.1455341440663719
HOS,TAL,Inbound to,Red,Night,0.1426765918807962
COW,WIN,Outbound to,Green,Midday,0.14252791626896236
CIT,FOR,Inbound to,Red,Midday,0.14186001192817102
SUI,GOL,Inbound to,Red,Midday,0.14141490221427327
PHI,BRD,Inbound to,Green,Evening,0.1401471370197403
COW,MIL,Inbound to,Green,Morning,0.1397727189372578
COW,MIL,Inbound to,Green,Evening,0.13821511327873287
SMI,FOU,Outbound to,Red,Morning,0.13638971715240308
BRD,GRA,Outbound to,Green,Evening,0.13431706801413473
CHA,RAN,Inbound to,Green,Midday,0.13110357575688106
SMI,FOU,Outbound to,Red,Evening,0.1302391527979543
PHI,DOM,Inbound to,Green,Evening,0.12867879251666067
DUN,BAL,Inbound to,Green,Midday,0.12146739054436469
DUN,BAL,Inbound to,Green,Morning,0.12115055105558958
KIL,BAL,Outbound to,Green,Midday,0.12078750444811759
SMI,FOU,Outbound to,Red,Midday,0.11447785218404342
