Stop,NextStop,Direction,Line,Period,AvgVolatilityMinutes
SUI,RIA,Inbound to,Red,Midday,0.7688905055350842
BEL,RED,Outbound to,Red,Morning,0.7687716683367759
KIL,STI,Outbound to,Green,Midday,0.7679865719986988
KIL,CPK,Outbound to,Green,Morning,0.7671523329787109
GAL,CPK,Outbound to,Green,Evening,0.7665965395603895
DUN,MIL,Outbound to,Green,Morning,0.765836362242704
JER,MUS,Outbound to,Red,Midday,0.7649434288585548
BRD,DOM,Outbound to,Green,Night,0.7643117831142018
DRI,BLU,Inbound to,Red,Evening,0.7639198209402172
CHA,HAR,Inbound to,Green,Night,0.7623168007908095
JAM,HEU,Outbound to,Red,Midday,0.7618016810571369
HOS,COO,Inbound to,Red,Evening,0.7600518829371288
MYS,GDK,Outbound to,Red,Midday,0.7598670814393939
OUP,GRA,Inbound to,Green,Evening,0.7597022087335776
RAN,WIN,Outbound to,Green,Morning,0.7594949361720644
HOS,BEL,Inbound to,Red,Evening,0.7587305283485729
OGP,OUP,Inbound to,Green,Midday,0.7585704124334587
CCK,CHE,Outbound to,Green,Midday,0.7579640252304131
SDK,MYS,Outbound to,Red,Evening,0.757403727176617
KIN,BEL,Inbound to,Red,Morning,0.7573738550717153
CHA,RAN,Outbound to,Green,Evening,0.7563312166444737
GDK,ABB,Inbound to,Red,Midday,0.7561939320656442
DRI,JAM,Inbound to,Red,Midday,0.7555810861699609
CCK,BAW,Outbound to,Green,Morning,0.755253161689565
DUN,MIL,Outbound to,Green,Midday,0.7551013214069449
JER,FOU,Outbound to,Red,Midday,0.755034872792678
SUI,RIA,Inbound to,Red,Morning,0.7546705188272469
OGP,DAW,Inbound to,Green,Morning,0.7543962861876751
KYL,BLA,Inbound to,Red,Night,0.7530850887700767
RIA,SUI,Outbound to,Red,Evening,0.7523094088798147
FAT,SUI,Inbound to,Red,Midday,0.7512706555536787
LEO,BAW,Inbound to,Green,Morning,0.7512043611446415
RIA,GOL,Inbound to,Red,Evening,0.7504542922853514
GOL,KYL,Outbound to,Red,Evening,0.7500904456121901
COO,BEL,Inbound to,Red,Morning,0.7500581464448564
BEE,RAN,Inbound to,Green,Night,0.7496291404974502
PAR,MAR,Outbound to,Green,Evening,0.7492286573838094
KYL,RED,Outbound to,Red,Night,0.748846626570321
BUS,ABB,Outbound to,Red,Midday,0.748732453985828
DUN,KIL,Outbound to,Green,Morning,0.7474432904070751
SAG,FOR,Inbound to,Red,Morning,0.7473227384555322
BRO,CAB,Outbound to,Green,Midday,0.7467193019557442
BLU,KYL,Outbound to,Red,Midday,0.7467032568342762
FET,CIT,Outbound to,Red,Evening,0.7466620459172053
CPK,GAL,Outbound to,Green,Night,0.746342454075481
RAN,MIL,Outbound to,Green,Evening,0.7461681521210162
DOM,CAB,Inbound to,Green,Midday,0.746058422643582
JAM,HEU,Outbound to,Red,Morning,0.7459821923375606
BRD,PHI,Inbound to,Green,Evening,0.7459331898748826
OUP,GRA,Inbound to,Green,Midday,0.7453859425679744
COW,WIN,Outbound to,Green,Morning,0.7451114040787506
SDK,MYS,Inbound to,Red,Morning,0.7448434415189089
MIL,WIN,Outbound to,Green,Morning,0.7430901827117583
SUI,RIA,Inbound to,Red,Evening,0.7418656591758374
COW,CHA,Outbound to,Green,Morning,0.7417666462318918
HOS,BEL,Inbound to,Red,Morning,0.7412569846880789
SAG,CIT,Inbound to,Red,Morning,0.7399883191256716
PAR,MAR,Outbound to,Green,Midday,0.7396151850812824
BRO,CAB,Outbound to,Green,Morning,0.739071256219891
OUP,BRD,Inbound to,Green,Midday,0.7390274283681464
JER,SMI,Outbound to,Red,Night,0.7388613272363647
ABB,BUS,Inbound to,Red,Evening,0.7387384157726088
FOU,JER,Outbound to,Red,Morning,0.7386946887433066
GAL,LEO,Outbound to,Green,Night,0.7383715630313751
SDK,MYS,Inbound to,Red,Evening,0.7379738598880468
WES,OGP,Inbound to,Green,Night,0.7376857943598406
CHA,RAN,Outbound to,Green,Night,0.7371958298958668
BLA,DRI,Inbound to,Red,Evening,0.7366685387004247
BAW,GAL,Outbound to,Green,Midday,0.7365192572617164
KIL,CPK,Outbound to,Green,Evening,0.7364135644410483
ABB,BUS,Inbound to,Red,Midday,0.7357930774191287
JER,FOU,Outbound to,Red,Evening,0.7357075527889332
GLE,GAL,Outbound to,Green,Midday,0.7355226810694228
LAU,CCK,Outbound to,Green,Midday,0.7344197700771129
OGP,OUP,Inbound to,Green,Night,0.7340487185688204
GDK,JER,Outbound to,Red,Morning,0.7335536589289323
BAL,KIL,Outbound to,Green,Evening,0.7332679279221538
BLU,BLA,Inbound to,Red,Morning,0.7331864021700016
BLA,KYL,Inbound to,Red,Evening,0.7331082941737683
CHA,RAN,Outbound to,Green,Midday,0.7328666371553302
JAM,RIA,Inbound to,Red,Morning,0.7328181803154843
MYS,GDK,Outbound to,Red,Morning,0.7327311585012147
RED,KIN,Inbound to,Red,Midday,0.7325406909021986
BRD,DOM,Outbound to,Green,Morning,0.7325032252789819
COO,BEL,Inbound to,Red,Night,0.7322875111912168
ABB,GDK,Outbound to,Red,Evening,0.7322482770560779
COW,CHA,Inbound to,Green,Evening,0.7315924972063731
STI,DUN,Inbound to,Green,Night,0.7306770072260992
GLE,KIL,Inbound to,Green,Midday,0.7306770072260991
BLU,KYL,Outbound to,Red,Morning,0.7305995100876184
CCK,BAW,Outbound to,Green,Midday,0.7299496886567111
JAM,FAT,Inbound to,Red,Midday,0.7281054889525637
COW,BEE,Inbound to,Green,Midday,0.7278181822901145
GDK,ABB,Outbound to,Red,Evening,0.7275772162207421
HOS,COO,Inbound to,Red,Night,0.7273963247129106
BLU,KYL,Outbound to,Red,Night,0.7269074800393364
KIL,SAN,Inbound to,Green,Morning,0.725125355401224
BEL,HOS,Outbound to,Red,Night,0.7243936987605117
HOS,BEL,Inbound to,Red,Night,0.7242854383077063
KIL,BAL,Outbound to,Green,Morning,0.7242775649330195
MUS,SMI,Outbound to,Red,Morning,0.7242421006613537
HAR,STS,Outbound to,Green,Night,0.723988570108155
BRD,DOM,Outbound to,Green,Midday,0.7238830184301559
BAL,KIL,Outbound to,Green,Night,0.7235992257059852
MYS,GDK,Outbound to,Red,Night,0.7233623165119617
MYS,GDK,Inbound to,Red,Midday,0.7233558353471466
BAW,CCK,Outbound to,Green,Morning,0.7230846237398205
LAU,CHE,Outbound to,Green,Morning,0.7230419770776574
JAM,SUI,Outbound to,Red,Evening,0.7228674669854271
CVN,FOR,Outbound to,Red,Morning,0.7224250511579059
COO,BEL,Inbound to,Red,Evening,0.7224143176561886
LEO,GAL,Inbound to,Green,Morning,0.7209617684178959
COW,BEE,Inbound to,Green,Evening,0.7202780346871476
STS,HAR,Inbound to,Green,Morning,0.7201623890898774
COW,BEE,Inbound to,Green,Night,0.7196788559995969
DRI,KYL,Inbound to,Red,Morning,0.7188918942063233
PAR,DAW,Outbound to,Green,Midday,0.7188918942063233
DUN,KIL,Inbound to,Green,Evening,0.7188918942063233
DAW,HAR,Inbound to,Green,Evening,0.7188918942063233
DRI,KYL,Inbound to,Red,Evening,0.7188918942063233
BEE,BAL,Outbound to,Green,Morning,0.7188918942063233
DAW,OUP,Inbound to,Green,Evening,0.7188918942063233
JAM,RIA,Inbound to,Red,Night,0.7188918942063233
OGP,BRD,Inbound to,Green,Night,0.7188918942063233
GRA,CAB,Outbound to,Green,Night,0.7188918942063233
SUI,MUS,Inbound to,Red,Evening,0.7188918942063229
SAN,CPK,Inbound to,Green,Morning,0.7185906686143425
