Stop,NextStop,Direction,Line,Period,AvgVolatilityMinutes
HAR,DAW,Inbound to,Green,Midday,1.310400855828076
DAW,HAR,Outbound to,Green,Evening,1.3080931356003214
BLA,RIA,Inbound to,Red,Night,1.305269042277213
COW,BAL,Outbound to,Green,Morning,1.303044109327217
CPK,LEO,Outbound to,Green,Midday,1.2920587399964356
OGP,PHI,Inbound to,Green,Night,1.2845502887954385
HAR,DAW,Inbound to,Green,Night,1.2823865090645963
SAN,CPK,Outbound to,Green,Midday,1.2810063534411806
SAN,CPK,Outbound to,Green,Evening,1.2807658398386084
CPK,GAL,Outbound to,Green,Morning,1.2729316612836432
BAL,COW,Inbound to,Green,Morning,1.2722048934842574
COO,KIN,Inbound to,Red,Midday,1.2721795285393496
LEO,LAU,Outbound to,Green,Midday,1.2711308180096161
DOM,MAR,Outbound to,Green,Morning,1.2687479202712169
RED,KYL,Inbound to,Red,Midday,1.2654056222220105
DAW,OGP,Inbound to,Green,Morning,1.2647194064231937
ABB,GDK,Inbound to,Red,Evening,1.262443260284253
FET,FOR,Outbound to,Red,Midday,1.260094302173427
BEL,HOS,Inbound to,Red,Midday,1.2593829453633758
CHA,COW,Outbound to,Green,Evening,1.2593194707387394
COW,BAL,Outbound to,Green,Evening,1.2592407034219082
GDK,JER,Outbound to,Red,Morning,1.2535564443177105
BRD,CAB,Inbound to,Green,Night,1.2483382634208564
ABB,GDK,Inbound to,Red,Morning,1.2467484793567827
RED,BLU,Inbound to,Red,Night,1.2458367960190058
FAT,FOU,Inbound to,Red,Midday,1.2454619231042385
SAN,CPK,Outbound to,Green,Night,1.243303098159196
KIN,COO,Outbound to,Red,Midday,1.2422354314377444
CVN,KIN,Inbound to,Red,Evening,1.2411830467028846
DAW,STS,Inbound to,Green,Evening,1.2378509409324903
SAN,GLE,Outbound to,Green,Evening,1.236772989860258
BEL,HOS,Outbound to,Red,Morning,1.2323505979105165
DUN,STI,Outbound to,Green,Evening,1.231597690732705
SAN,LEO,Outbound to,Green,Midday,1.2291663255622596
SAN,GAL,Outbound to,Green,Morning,1.2290165332418783
STI,CPK,Outbound to,Green,Midday,1.228375783811259
BLU,RIA,Inbound to,Red,Midday,1.2278074154357335
KIN,RED,Outbound to,Red,Evening,1.2266703286111376
BEE,HAR,Inbound to,Green,Morning,1.2261467349719304
SAN,DUN,Inbound to,Green,Evening,1.2237783130133595
BLA,JAM,Inbound to,Red,Morning,1.2235421929986972
RED,COO,Outbound to,Red,Midday,1.2215724615490062
SMI,ABB,Inbound to,Red,Evening,1.2209286932120347
COW,CHA,Inbound to,Green,Morning,1.2205370896371572
GDK,MYS,Inbound to,Red,Morning,1.2159644952708164
BEL,CVN,Outbound to,Red,Midday,1.2142096955211164
LAU,LEO,Inbound to,Green,Morning,1.211729950807609
HOS,KIN,Inbound to,Red,Evening,1.207233560996135
STS,CHA,Outbound to,Green,Evening,1.205837803490806
BAW,CHE,Outbound to,Green,Midday,1.1996797221896924
FOU,GDK,Inbound to,Red,Morning,1.1947954886295589
DAW,OGP,Inbound to,Green,Evening,1.194517757759391
STS,OGP,Inbound to,Green,Morning,1.1922241987144742
SMI,JER,Outbound to,Red,Midday,1.1901662408030624
DRI,FAT,Inbound to,Red,Evening,1.1901026297931059
HOS,KIN,Inbound to,Red,Morning,1.1898446717777338
RIA,SMI,Inbound to,Red,Evening,1.189643241140803
COW,DUN,Outbound to,Green,Evening,1.1869040424171753
BLU,FAT,Inbound to,Red,Midday,1.186368043990763
RED,DRI,Inbound to,Red,Midday,1.1821187990602398
JAM,MUS,Inbound to,Red,Midday,1.1813972183493997
COO,RED,Inbound to,Red,Morning,1.1802228314010963
DRI,FAT,Inbound to,Red,Midday,1.1788001227363558
BRD,CAB,Inbound to,Green,Evening,1.1776214661627669
LEO,SAN,Inbound to,Green,Morning,1.1762345759999482
FOU,GDK,Inbound to,Red,Midday,1.175865826743207
TAL,BEL,Inbound to,Red,Midday,1.1753154362634313
RED,KYL,Inbound to,Red,Morning,1.1738120480831136
CPK,GLE,Outbound to,Green,Morning,1.1720312112983595
SAN,STI,Inbound to,Green,Night,1.1711697400449965
SAN,STI,Inbound to,Green,Midday,1.168272903402739
KIN,RED,Outbound to,Red,Night,1.1681426655350529
STI,GAL,Outbound to,Green,Morning,1.168060225075852
WIN,KIL,Inbound to,Green,Morning,1.1643230428657452
STI,CPK,Outbound to,Green,Evening,1.16317238389945
FOR,CVN,Outbound to,Red,Midday,1.16100567632876
BAL,STI,Outbound to,Green,Morning,1.160065213824733
DRI,JAM,Inbound to,Red,Midday,1.1561269813132529
DAW,HAR,Inbound to,Green,Night,1.1547005383792517
DUN,COW,Inbound to,Green,Evening,1.1547005383792517
SAN,CPK,Inbound to,Green,Night,1.1547005383792517
TRY,PAR,Outbound to,Green,Evening,1.1547005383792517
GLE,LEO,Outbound to,Green,Morning,1.1513021986115881
OGP,GRA,Inbound to,Green,Morning,1.1512417808423674
GDK,MYS,Inbound to,Red,Evening,1.1501642541492885
OGP,WES,Inbound to,Green,Midday,1.1499194818833252
CIT,SAG,Inbound to,Red,Midday,1.1499194818833252
WIN,SAN,Outbound to,Green,Morning,1.1499194818833252
SAN,STI,Inbound to,Green,Morning,1.1497083996486832
OGP,BRD,Inbound to,Green,Night,1.1471118469586705
BLU,KIN,Outbound to,Red,Night,1.1451993195428827
WIN,STI,Outbound to,Green,Evening,1.1450780338927578
KIN,FET,Outbound to,Red,Midday,1.1423398259506192
TAL,BEL,Inbound to,Red,Evening,1.1421044679798524
SAN,GLE,Outbound to,Green,Midday,1.13820661613674
COW,CHA,Inbound to,Green,Midday,1.1374750075604088
JAM,DRI,Outbound to,Red,Morning,1.137284778174168
KYL,BLA,Inbound to,Red,Midday,1.1358729745300067
FET,KIN,Inbound to,Red,Night,1.135455529406264
HAR,RAN,Outbound to,Green,Morning,1.1337763985094071
JAM,GOL,Outbound to,Red,Evening,1.1331100203170537
BEL,CVN,Outbound to,Red,Evening,1.1328111908826561
BLA,JAM,Inbound to,Red,Midday,1.1312140004664204
TAL,BEL,Inbound to,Red,Night,1.1311505550073306
PHI,CAB,Inbound to,Green,Evening,1.129508466392116
BAL,WIN,Outbound to,Green,Night,1.12583302491977
SMI,GDK,Inbound to,Red,Midday,1.1257390963586589
LEO,CPK,Outbound to,Green,Morning,1.1242458938508524
GRA,PHI,Inbound to,Green,Evening,1.1175742073531079
RED,KIN,Outbound to,Red,Night,1.1164009190177102
STS,RAN,Outbound to,Green,Morning,1.1158388039631362
FOU,ABB,Inbound to,Red,Midday,1.114848395046791
TRY,MAR,Outbound to,Green,Evening,1.1138557095578983
RED,KIN,Outbound to,Red,Evening,1.1103043227423084
KYL,DRI,Inbound to,Red,Evening,1.1099166738692514
DOM,CAB,Inbound to,Green,Night,1.103853035823698
RED,COO,Outbound to,Red,Evening,1.1007442936940863
GOL,FAT,Inbound to,Red,Evening,1.098879423683481
BRD,GRA,Inbound to,Green,Evening,1.0981900940850675
GRA,PHI,Inbound to,Green,Night,1.0977348783682481
SAN,BAL,Inbound to,Green,Night,1.0975240684862644
CPK,SAN,Outbound to,Green,Evening,1.0948296113013605
